emb,K,variant,r_bar,d_bar,d_over_r,sil,db,r_bar_std,sil_std
item_id,10,base,5.1174,2.3426,0.4578,0.0075,4.7906,0.0029,0.0009
item_id,10,full,5.9414,2.7968,0.4707,0.0043,4.6786,0.009,0.0044
item_id,20,base,5.0354,2.7792,0.5519,-0.0026,4.2108,0.0029,0.0041
item_id,20,full,5.8685,3.3969,0.5788,-0.0168,4.1209,0.004,0.0047
item_id,50,base,4.8093,3.6221,0.7532,-0.021,3.4573,0.0255,0.0058
item_id,50,full,5.6278,4.7591,0.8458,-0.0278,3.3155,0.031,0.0063
item_cf,10,base,5.4783,3.1695,0.5786,0.0298,4.1044,0.0107,0.0018
item_cf,10,full,6.3415,3.7582,0.5926,0.0321,3.9925,0.0067,0.0009
item_cf,20,base,5.3037,3.8461,0.7252,0.0333,3.5833,0.0168,0.0039
item_cf,20,full,6.1302,4.5295,0.7389,0.038,3.4799,0.0179,0.0022
item_cf,50,base,4.7849,5.1597,1.0784,0.0583,2.8459,0.0256,0.002
item_cf,50,full,5.4303,6.2261,1.1475,0.0634,2.6861,0.1069,0.0006
item_fused_proxy,10,base,10.958,32.8086,2.9942,0.0046,3.2955,0.1402,0.0121
item_fused_proxy,10,full,9.7226,34.5142,3.5499,0.0164,2.9935,0.047,0.0039
item_fused_proxy,20,base,10.8106,27.0152,2.4991,-0.0188,3.0586,0.1997,0.0046
item_fused_proxy,20,full,9.5111,24.7755,2.5987,0.0043,3.0694,0.4995,0.0019
item_fused_proxy,50,base,8.8419,25.3147,2.8764,-0.0233,2.5813,0.3933,0.0024
item_fused_proxy,50,full,8.1497,22.4118,2.7614,0.0139,2.606,0.3235,0.0006
v_item,10,base,5.2062,46.487,8.9292,0.2262,1.4011,0.0147,0.0017
v_item,10,full,4.2148,55.6141,13.1949,0.3359,0.9347,0.0057,0.001
v_item,20,base,4.5507,40.0808,8.8372,0.1075,2.1661,0.21,0.0241
v_item,20,full,3.8459,42.1932,10.965,0.2033,1.5177,0.1073,0.0169
v_item,50,base,3.0976,32.6986,10.5829,0.0832,2.037,0.1387,0.0274
v_item,50,full,2.3881,37.2845,15.6827,0.1417,1.544,0.1439,0.0037
t_item,10,base,7.4784,40.769,5.7755,0.076,1.9863,1.5271,0.0067
t_item,10,full,7.0027,32.8472,4.6974,0.1565,1.5546,0.3493,0.0047
t_item,20,base,6.9843,36.9708,5.4014,0.0491,1.9103,0.7953,0.0044
t_item,20,full,7.6982,27.4725,3.5695,0.1138,1.6379,0.1307,0.0007
t_item,50,base,5.0933,32.4351,6.3807,0.0305,1.7264,0.1895,0.0119
t_item,50,full,4.7792,28.9355,6.0701,0.0648,1.4315,0.2035,0.0107
v_homo,10,base,,,,,,,
v_homo,10,full,,,,,,,
v_homo,20,base,,,,,,,
v_homo,20,full,,,,,,,
v_homo,50,base,,,,,,,
v_homo,50,full,,,,,,,
v_diver,10,base,,,,,,,
v_diver,10,full,39577.1354,1017058.5833,25.6981,0.6813,0.4712,16.3598,0.0002
v_diver,20,base,,,,,,,
v_diver,20,full,23323.4036,882872.9167,37.8539,0.6566,0.5064,145.6435,0.0013
v_diver,50,base,,,,,,,
v_diver,50,full,9897.6589,834026.7917,84.27,0.6189,0.4803,66.5908,0.0546
