emb,K,variant,r_bar,d_bar,d_over_r,sil,db,r_bar_std,sil_std
item_id,10,base,5.764,2.8928,0.5019,0.0185,5.0628,0.0028,0.0009
item_id,10,full,4.7705,2.6406,0.5535,-0.021,4.7068,0.0056,0.0018
item_id,20,base,5.6712,3.1945,0.5633,0.0164,4.6319,0.0022,0.0014
item_id,20,full,4.7363,2.9213,0.6168,-0.0337,4.5056,0.0113,0.0059
item_id,50,base,5.5419,3.676,0.6633,0.0151,4.1159,0.004,0.002
item_id,50,full,4.7199,3.4808,0.7375,-0.0477,3.9372,0.0111,0.0055
item_cf,10,base,6.4457,4.2211,0.6549,0.0399,4.1991,0.0048,0.0011
item_cf,10,full,5.0699,3.6673,0.7234,0.041,4.0031,0.0005,0.0002
item_cf,20,base,6.2369,4.7804,0.7665,0.038,3.9271,0.0127,0.0009
item_cf,20,full,4.9205,4.1176,0.8368,0.0418,3.7182,0.0063,0.0005
item_cf,50,base,5.9153,5.5977,0.9463,0.047,3.3043,0.0271,0.0008
item_cf,50,full,4.6127,4.876,1.0572,0.0511,3.1834,0.0254,0.001
item_fused_proxy,10,base,9.8092,7.2148,0.7354,0.0317,3.7496,0.0375,0.0041
item_fused_proxy,10,full,8.9622,18.2822,2.0254,0.0389,2.6969,0.2871,0.0059
item_fused_proxy,20,base,9.5629,13.3933,1.4492,0.0135,3.424,0.6186,0.0094
item_fused_proxy,20,full,8.4352,16.8313,1.9954,0.0226,2.9319,0.0294,0.0031
item_fused_proxy,50,base,8.8487,17.5994,1.9892,0.007,3.0355,0.1262,0.0022
item_fused_proxy,50,full,6.6171,16.2191,2.4547,0.0195,2.8375,0.2345,0.0024
v_item,10,base,10.039,18.8746,1.8837,0.066,2.5376,0.265,0.0042
v_item,10,full,5.9879,38.7847,6.4766,0.2944,1.145,0.0258,0.0031
v_item,20,base,6.9986,23.5872,3.4666,0.047,2.4554,0.8031,0.0073
v_item,20,full,3.3377,36.1648,10.8358,0.1715,1.6005,0.0249,0.0029
v_item,50,base,5.5869,20.2859,3.6309,-0.016,2.392,0.0276,0.0081
v_item,50,full,2.4818,28.3398,11.4369,0.1192,1.6648,0.0915,0.0069
t_item,10,base,4.8628,25.962,5.4007,0.009,2.5209,0.231,0.0249
t_item,10,full,7.2598,24.2837,3.3459,0.1762,1.5365,0.1819,0.0073
t_item,20,base,6.3168,21.7627,3.4783,-0.0359,2.5931,0.4508,0.0185
t_item,20,full,5.4335,26.591,4.9583,0.1535,1.4885,0.4311,0.0029
t_item,50,base,5.6218,19.5931,3.5233,-0.0709,2.3916,0.4387,0.0039
t_item,50,full,4.4418,22.6106,5.0954,0.0693,1.5832,0.118,0.0007
v_homo,10,base,,,,,,,
v_homo,10,full,,,,,,,
v_homo,20,base,,,,,,,
v_homo,20,full,,,,,,,
v_homo,50,base,,,,,,,
v_homo,50,full,,,,,,,
v_diver,10,base,,,,,,,
v_diver,10,full,2205.1681,38380.5833,17.4045,0.6319,0.5002,6.5987,0.0019
v_diver,20,base,,,,,,,
v_diver,20,full,1175.8032,35358.681,30.0726,0.53,0.5181,3.8785,0.0025
v_diver,50,base,,,,,,,
v_diver,50,full,486.8148,33909.5052,69.6592,0.5221,0.511,1.5604,0.0022
