emb,K,variant,r_bar,d_bar,d_over_r,sil,db,r_bar_std,sil_std
item_id,10,base,5.6889,2.7288,0.4797,0.0172,5.0696,0.0015,0.0006
item_id,10,full,4.2252,2.153,0.5096,-0.0226,4.8001,0.0026,0.0014
item_id,20,base,5.5965,3.0424,0.5436,0.0159,4.6877,0.0016,0.0011
item_id,20,full,4.1997,2.417,0.5755,-0.0326,4.5391,0.0047,0.003
item_id,50,base,5.4468,3.5456,0.651,0.0183,3.9763,0.0064,0.0005
item_id,50,full,4.1501,2.9826,0.7187,-0.0425,3.9023,0.0078,0.0017
item_cf,10,base,6.3205,4.0807,0.6456,0.0347,4.2892,0.0087,0.0012
item_cf,10,full,4.4516,2.9348,0.6593,0.0339,4.1532,0.0036,0.0016
item_cf,20,base,6.1865,4.4912,0.726,0.0364,3.976,0.0065,0.0006
item_cf,20,full,4.3178,3.4517,0.7996,0.0342,3.8254,0.0254,0.0036
item_cf,50,base,5.7913,5.5665,0.9612,0.0422,3.2618,0.0098,0.0041
item_cf,50,full,3.9925,4.2984,1.077,0.0448,3.1134,0.0427,0.004
item_fused_proxy,10,base,12.6655,21.316,1.7644,0.0101,3.7689,1.8283,0.0021
item_fused_proxy,10,full,11.2673,25.954,2.2881,0.0343,2.6294,0.532,0.0035
item_fused_proxy,20,base,11.3106,19.9791,1.871,-0.0089,3.559,1.2753,0.005
item_fused_proxy,20,full,9.5893,21.5229,2.243,0.0098,2.7934,0.3058,0.0005
item_fused_proxy,50,base,9.8476,20.9635,2.1374,-0.0175,3.0353,0.4611,0.0083
item_fused_proxy,50,full,7.3218,22.547,3.0852,0.0084,2.6955,0.2277,0.002
v_item,10,base,12.2587,25.6528,2.0838,0.0676,2.7204,1.0265,0.003
v_item,10,full,6.7998,51.3084,7.5456,0.3719,0.9393,0.0032,0.0008
v_item,20,base,8.0717,33.4319,4.1381,0.0167,2.491,0.1008,0.0021
v_item,20,full,4.0253,41.5752,10.3349,0.2107,1.4115,0.0978,0.0111
v_item,50,base,6.0156,28.2926,4.7149,-0.0039,2.2905,0.3111,0.006
v_item,50,full,2.8401,32.6569,11.5027,0.1542,1.5891,0.0653,0.0033
t_item,10,base,5.1204,32.6607,6.4113,0.023,2.6893,0.3352,0.0052
t_item,10,full,7.2749,19.7377,2.9182,0.1657,1.4514,1.154,0.0048
t_item,20,base,6.4013,32.7947,5.5137,-0.0306,2.4831,1.5496,0.0216
t_item,20,full,6.0391,29.5125,4.8884,0.1187,1.5339,0.0487,0.017
t_item,50,base,6.1137,27.6395,4.5896,-0.0892,2.258,0.6432,0.0008
t_item,50,full,4.8942,27.304,5.5844,0.0666,1.5592,0.1578,0.0031
v_homo,10,base,,,,,,,
v_homo,10,full,320.9254,4074.075,12.6948,0.8301,0.4077,0.1777,0.0005
v_homo,20,base,,,,,,,
v_homo,20,full,114.7346,4244.7375,37.2228,0.6602,0.4621,5.8961,0.0083
v_homo,50,base,,,,,,,
v_homo,50,full,32.2094,3541.0046,109.9446,0.5978,0.5158,0.2527,0.0035
v_diver,10,base,,,,,,,
v_diver,10,full,5464.5073,112294.3047,20.5498,0.6808,0.4884,6.9295,0.0005
v_diver,20,base,,,,,,,
v_diver,20,full,2986.216,102307.8828,34.2668,0.663,0.486,32.0752,0.0012
v_diver,50,base,,,,,,,
v_diver,50,full,1262.5546,98366.1979,77.9193,0.5537,0.504,6.5514,0.0041
